name,slug,is_nsfw
Auto,auto,false
Animation,animation,false
Business,business,false
Classic,classic,false
Comedy,comedy,false
Cooking,cooking,false
Culture,culture,false
Documentary,documentary,false
Education,education,false
Entertainment,entertainment,false
Family,family,false
General,general,false
Kids,kids,false
Legislative,legislative,false
Lifestyle,lifestyle,false
Local,local,false
Movies,movies,false
Music,music,false
News,news,false
Outdoor,outdoor,false
Relax,relax,false
Religious,religious,false
Series,series,false
Science,science,false
Shop,shop,false
Sports,sports,false
Travel,travel,false
Weather,weather,false
XXX,xxx,true
