name,id,country,languages,broadcast_area,categories,is_nsfw,logo
!nsert,nsert.id,ID,ind,c/ID,,false,
#0,0.es,ES,spa,c/ES,,false,https://www.sms.cz/kategorie/televize/bmp/loga/velka/cero.png
#EstudoEmCasa Secundário,EstudoEmCasaSecundario.pt,PT,por,c/PT,,false,
#Vamos,Vamos.es,ES,spa,c/ES,,false,
#Vamos Bar,VamosBar.es,ES,spa,c/ES,,false,
#Vamos Bar 1,VamosBar1.es,ES,spa,c/ES,,false,
#Vamos Bar 2,VamosBar2.es,ES,spa,c/ES,,false,
$6.99 Adult Hardcore Shorts PPV,699AdultHardcoreShortsPPV.us,US,eng,c/US,,false,
& TV,TV.in,IN,hin,c/IN,,false,http://imagesdishtvd2h.whatsonindia.com/dasimages/channel/landscape/360x270/1ZpahMbB.png
& Xplor,Xplor.in,IN,hin,c/IN,,false,
& flix,flix.in,IN,hin,c/IN,,false,http://imagesdishtvd2h.whatsonindia.com/dasimages/channel/landscape/360x270/R45cqkBC.png
& pictures,pictures.in,IN,hin,c/IN,,false,http://imagesdishtvd2h.whatsonindia.com/dasimages/channel/landscape/360x270/288dmSbW.png
& privé HD,priveHD.in,IN,hin,c/IN,,false,http://imagesdishtvd2h.whatsonindia.com/dasimages/channel/landscape/360x270/fO8ZBzjf.png
+23,Plus23.pa,PA,spa,c/PA,,false,
+Hits Africa,PlusHitsAfrica.ao,AO,por,c/AO,,false,
01 TV,01TV.fr,FR,fra,c/FR,,false,https://proxymedia.woopic.com/api/v1/images/553%2Flogos%2Fv2%2Flogos%2Flivetv_01tv%2F20200102_141654%2FwebTVLogo%2Flogo_180x96.png
1 KBR,1KBR.ru,RU,rus,c/RU,,false,
1 Krim,1Krim.ru,RU,rus,c/RU,,false,
1 Magic Africa,1MagicAfrica.za,ZA,afr,c/ZA,,false,https://rndcdn.dstv.com/dstvcms/2018/01/29/1Magic_dotcom_4-3_light_background_001_xlrg.png
1 Magic South Africa,1MagicSouthAfrica.za,ZA,afr,c/ZA,,false,
1 Magic West Africa,1MagicWestAfrica.za,ZA,afr,c/ZA,,false,
1 Music,1Music.ng,NG,eng,c/NG,,false,
1 Sports,1Sports.in,IN,hin,c/IN,,false,http://imagesdishtvd2h.whatsonindia.com/dasimages/channel/landscape/360x270/c3e51BKK.png
1 Suvag TV,1SuvagTV.mn,MN,mon,c/MN,,false,
1 TV,1TV.ge,GE,kat,c/GE,,false,https://i.imgur.com/mX080in.png
1 Yes News,1YesNews.in,IN,hin,c/IN,,false,
1+1,1Plus1.ua,UA,ukr,c/UA,,false,
1+1 International,1Plus1International.ua,UA,ukr,c/UA,,false,
1+2,1Plus2.lv,LV,lav,c/LV,,false,https://inet-static.mw.elion.ee/images/channels/300x300/1341.png
1-2-3 TV,123TV.de,DE,deu,c/DE,,false,https://cdn.hd-plus.de/senderlogos/bright-cropped/24444-2.png
