name,code
Ghotuo,aaa
Alumu-Tesu,aab
Ari,aac
Amal,aad
Arbëreshë Albanian,aae
Aranadan,aaf
Ambrak,aag
Abu' Arapesh,aah
Arifama-Miniafia,aai
Ankave,aak
Afade,aal
Anambé,aan
Algerian Saharan Arabic,aao
Pará Arára,aap
Eastern Abnaki,aaq
Afar,aar
Aasáx,aas
Arvanitika Albanian,aat
Abau,aau
Solong,aaw
Mandobo Atas,aax
Amarasi,aaz
Abé,aba
Bankon,abb
Ambala Ayta,abc
Manide,abd
Western Abnaki,abe
Abai Sungai,abf
Abaga,abg
Tajiki Arabic,abh
Abidji,abi
Aka-Bea,abj
Abkhazian,abk
Lampung Nyo,abl
Abanyom,abm
Abua,abn
Abon,abo
Abellen Ayta,abp
Abaza,abq
Abron,abr
Ambonese Malay,abs
Ambulas,abt
Abure,abu
Baharna Arabic,abv
Pal,abw
Inabaknon,abx
Aneme Wake,aby
Abui,abz
Achagua,aca
Áncá,acb
Gikyode,acd
Achinese,ace
Saint Lucian Creole French,acf
Acoli,ach
Aka-Cari,aci
Aka-Kora,ack
Akar-Bale,acl
Mesopotamian Arabic,acm
Achang,acn
Eastern Acipa,acp
Ta'izzi-Adeni Arabic,acq
Achi,acr
Acroá,acs
Achterhoeks,act
Achuar-Shiwiar,acu
Achumawi,acv
Hijazi Arabic,acw
Omani Arabic,acx
Cypriot Arabic,acy
Acheron,acz
Adangme,ada
Atauran,adb
Dzodinka,add
Lidzonka,add
Adele,ade
Dhofari Arabic,adf
Andegerebinha,adg
Adhola,adh
Adi,adi
Adioukrou,adj
Galo,adl
Adang,adn
Abu,ado
Adangbe,adq
Adonara,adr
Adamorobe Sign Language,ads
Adnyamathanha,adt
Aduge,adu
Amundava,adw
Amdo Tibetan,adx
Adygei,ady
Adyghe,ady
Adzera,adz
Areba,aea
Tunisian Arabic,aeb
Saidi Arabic,aec
Argentine Sign Language,aed
Northeast Pashai,aee
Northeast Pashayi,aee
Haeke,aek
Ambele,ael
Arem,aem
Armenian Sign Language,aen
Aer,aeq
Eastern Arrernte,aer
Alsea,aes
Akeu,aeu
Ambakich,aew
Amele,aey
Aeka,aez
Gulf Arabic,afb
Andai,afd
Putukwam,afe
Afghan Sign Language,afg
Afrihili,afh
Akrukay,afi
Chini,afi
Nanubae,afk
Defaka,afn
Eloyi,afo
Tapei,afp
Afrikaans,afr
Afro-Seminole Creole,afs
Afitti,aft
Awutu,afu
Obokuitai,afz
Aguano,aga
Legbo,agb
Agatu,agc
Agarabi,agd
Angal,age
Arguni,agf
Angor,agg
Ngelima,agh
Agariya,agi
Argobba,agj
Isarog Agta,agk
Fembe,agl
Angaataha,agm
Agutaynen,agn
Tainae,ago
Aghem,agq
Aguaruna,agr
Esimbi,ags
Central Cagayan Agta,agt
Aguacateco,agu
Remontado Dumagat,agv
Kahua,agw
Aghul,agx
Southern Alta,agy
Mt. Iriga Agta,agz
Ahanta,aha
Axamb,ahb
Qimant,ahg
Aghu,ahh
Tiagbamrin Aizi,ahi
Akha,ahk
Igo,ahl
Mobumrin Aizi,ahm
Àhàn,ahn
Ahom,aho
Aproumu Aizi,ahp
Ahirani,ahr
Ashe,ahs
Ahtena,aht
Arosi,aia
Ainu (China),aib
Ainbai,aic
Alngith,aid
Amara,aie
Agi,aif
Antigua and Barbuda Creole English,aig
Ai-Cham,aih
Assyrian Neo-Aramaic,aii
Lishanid Noshan,aij
Ake,aik
Aimele,ail
Aimol,aim
Ainu (Japan),ain
Aiton,aio
Burumakok,aip
Aimaq,aiq
Airoran,air
Arikem,ait
Aari,aiw
Aighon,aix
Ali,aiy
Aja (South Sudan),aja
Aja (Benin),ajg
Ajië,aji
Andajin,ajn
South Levantine Arabic,ajp
Judeo-Tunisian Arabic,ajt
Judeo-Moroccan Arabic,aju
Ajawa,ajw
Amri Karbi,ajz
Akan,aka
Batak Angkola,akb
Mpur,akc
Ukpet-Ehom,akd
Akawaio,ake
Akpa,akf
Anakalangu,akg
Angal Heneng,akh
Aiome,aki
Aka-Jeru,akj
Akkadian,akk
Aklanon,akl
Aka-Bo,akm
Akurio,ako
Siwu,akp
Ak,akq
Araki,akr
Akaselem,aks
Akolet,akt
Akum,aku
Akhvakh,akv
Akwa,akw
Aka-Kede,akx
Aka-Kol,aky
Alabama,akz
Alago,ala
Qawasqar,alc
Alladian,ald
Aleut,ale
Alege,alf
Alawa,alh
Amaimon,ali
Alangan,alj
Alak,alk
Allar,all
Amblong,alm
Gheg Albanian,aln
Larike-Wakasihu,alo
Alune,alp
Algonquin,alq
Alutor,alr
Tosk Albanian,als
Southern Altai,alt
'Are'are,alu
Alaba-K’abeena,alw
Wanbasana,alw
Amol,alx
Alyawarr,aly
Alur,alz
Amanayé,ama
Ambo,amb
Amahuaca,amc
Yanesha',ame
Hamer-Banna,amf
Amurdak,amg
Amharic,amh
Amis,ami
Amdang,amj
Ambai,amk
War-Jaintia,aml
